r1bqkb1r/pp1nnppp/2p1p3/3pP3/3P1B2/5N2/PPP2PPP/RN1QKB1R,w,6,c2c3,94,Bd3,40
r1bqkb1r/pp1nnppp/2p1p3/3pP3/3P1B2/3B1N2/PPP2PPP/RN1QK2R,b,6,c6c5,40,b5,130
rnbqkbnr/pp2pppp/2p5/3pP3/8/3P4/PPP2PPP/RNBQKBNR,b,3,c6c5,-17,Bf5,-17
rn1qkbnr/pp2pppp/2p5/3pPb2/8/3P4/PPP2PPP/RNBQKBNR,w,4,g1f3,-17,Nf3,-22
rn1qkbnr/pp2pppp/2p5/3pPb2/8/3P1N2/PPP2PPP/RNBQKB1R,b,4,c6c5,-22,e6,-11
rn1qkbnr/pp3ppp/2p1p3/3pPb2/8/3P1N2/PPP2PPP/RNBQKB1R,w,5,d3d4,-11,Nbd2,-36
rn1qkbnr/pp3ppp/2p1p3/3pPb2/8/3P1N2/PPPN1PPP/R1BQKB1R,b,5,c6c5,-36,Nd7,2
r2qkbnr/pp1n1ppp/2p1p3/3pPb2/8/3P1N2/PPPN1PPP/R1BQKB1R,w,6,d3d4,2,Nb3,-46
r2qkbnr/pp1n1ppp/2p1p3/3pPb2/8/1N1P1N2/PPP2PPP/R1BQKB1R,b,6,c6c5,-46,Ne7,-12
rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR,b,3,e7e5,-170,Qd5,68
rnb1kbnr/ppp1pppp/8/3q4/3Pp3/8/PPP2PPP/RNBQKBNR,w,4,b1c3,68,Nc3,46
rnb1kbnr/ppp1pppp/8/3q4/3Pp3/2N5/PPP2PPP/R1BQKBNR,b,4,d5f5,46,Qe6,56
rnb1kbnr/ppp1pppp/4q3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,w,5,c1f4,56,Be3,9
rnb1kbnr/ppp1pppp/4q3/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR,b,5,g8f6,9,Nf6,19
rnb1kb1r/ppp1pppp/4qn2/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR,w,6,d1d2,19,Nge2,10
