fen_idx,fen,time,score_avg,elo_est,diff_max,diff_avg,depth_avg,nodes_avg,%_same_move
14,r1b2rk1/pp1n1pp1/2n1q2p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R b -,20.0,111,2900,47,13.0,32.0,20765907,100.0
15,r1b2rk1/pp1n1pp1/2n2q1p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R w -,0.2,181,1700,29,8.0,16.0,214313,100.0
15,r1b2rk1/pp1n1pp1/2n2q1p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R w -,1.0,178.0,2100,29,7.0,21.0,1027552,100.0
15,r1b2rk1/pp1n1pp1/2n2q1p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R w -,3.0,190.0,2400,29,6.0,24.0,2969928,100.0
15,r1b2rk1/pp1n1pp1/2n2q1p/4p3/Q1B5/4BN2/PPP2PPP/2KR3R w -,20.0,194.0,2900,37,10.0,32.0,20631615,100.0
18,r3kbnr/1pp3p1/p1n1pp1p/3pP2q/3P4/P1BB1NPP/1PP1QP2/2KR3R b kq,0.2,136.0,1925,43,11.0,19,233216,100.0
18,r3kbnr/1pp3p1/p1n1pp1p/3pP2q/3P4/P1BB1NPP/1PP1QP2/2KR3R b kq,1.0,137.0,2400,48,13.0,24.0,1120167,100.0
18,r3kbnr/1pp3p1/p1n1pp1p/3pP2q/3P4/P1BB1NPP/1PP1QP2/2KR3R b kq,3.0,166.0,2800,23,6.0,28.0,3090402,100.0
18,r3kbnr/1pp3p1/p1n1pp1p/3pP2q/3P4/P1BB1NPP/1PP1QP2/2KR3R b kq,20.0,168.0,2975,30,8.0,35.0,19718265,100.0
19,r3kbnr/1pp3p1/p1n1p2p/3pp2q/3P4/P1BB1NPP/1PP1QP2/2KR3R w kq,0.2,177.0,2400,28,9.0,24.0,250668,100.0
19,r3kbnr/1pp3p1/p1n1p2p/3pp2q/3P4/P1BB1NPP/1PP1QP2/2KR3R w kq,1.0,175.0,2800,20,4.0,28,1103233,100.0
19,r3kbnr/1pp3p1/p1n1p2p/3pp2q/3P4/P1BB1NPP/1PP1QP2/2KR3R w kq,3.0,173.0,2850,35,8.0,30.0,3205380,100.0
19,r3kbnr/1pp3p1/p1n1p2p/3pp2q/3P4/P1BB1NPP/1PP1QP2/2KR3R w kq,20.0,181.0,3000,30,7.0,36.0,19955954,100.0
